epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,550.472,1.18259,1.34967,1.61974,0.49756,0.38938,0.38814,0.18398,1.94441,2.0301,2.29947,0.0007228,0.0007228,0.0007228
44,562.512,1.15845,1.27596,1.58705,0.49841,0.46656,0.45695,0.22704,1.81107,1.89033,2.14924,0.0007162,0.0007162,0.0007162
45,574.517,1.11603,1.25587,1.56513,0.48373,0.44492,0.41799,0.20536,1.90239,2.14488,2.16119,0.0007096,0.0007096,0.0007096
46,586.34,1.09936,1.22698,1.54262,0.58178,0.44943,0.46186,0.22879,1.85883,2.01189,2.16516,0.000703,0.000703,0.000703
47,598.32,1.08871,1.21398,1.56763,0.52837,0.47566,0.45603,0.22196,1.86159,2.00349,2.25113,0.0006964,0.0006964,0.0006964
48,610.24,1.06998,1.153,1.52579,0.52425,0.46991,0.44684,0.22248,1.93727,1.94761,2.24375,0.0006898,0.0006898,0.0006898
49,622.19,1.09872,1.17745,1.52929,0.56271,0.49435,0.49349,0.24781,1.83914,1.78609,2.14954,0.0006832,0.0006832,0.0006832
50,634.393,1.08112,1.15532,1.53605,0.58443,0.40723,0.42604,0.22048,1.82537,1.95013,2.14745,0.0006766,0.0006766,0.0006766
51,646.409,1.07954,1.1478,1.51608,0.57281,0.37968,0.42234,0.2092,1.83642,2.11099,2.18882,0.00067,0.00067,0.00067
52,658.522,1.05808,1.14964,1.50703,0.51601,0.46859,0.46708,0.23545,1.85809,1.80601,2.25013,0.0006634,0.0006634,0.0006634
53,670.473,1.06474,1.12062,1.50388,0.46405,0.47441,0.44422,0.21875,1.89066,1.95392,2.23103,0.0006568,0.0006568,0.0006568
54,682.47,1.06605,1.10999,1.49602,0.51284,0.45583,0.46425,0.2273,1.84151,1.83302,2.19533,0.0006502,0.0006502,0.0006502
55,694.419,1.00656,1.07642,1.45983,0.68068,0.43674,0.49267,0.23921,1.87595,1.8982,2.28214,0.0006436,0.0006436,0.0006436
56,706.337,0.98933,1.03614,1.45254,0.64559,0.46187,0.49607,0.23519,1.80553,2.08602,2.21004,0.000637,0.000637,0.000637
